kapb1_alexa_10nM_mix_alexa647_nhs_1nM_2.ptu	 	 
Correlation time[ms]	G(t)[10{^-3}]	±Err [10{^-3}]
2.354957065	21.1865763	0.663002259
2.559757679	19.69340917	0.672946626
2.764558294	18.31569571	0.548928428
2.969358908	16.94326386	0.54026885
3.174159522	15.90138983	0.504666811
3.378960137	15.17648726	0.492981382
3.583760751	14.48125349	0.434576552
3.788561366	13.68049186	0.393406253
3.99336198	12.96831239	0.397917048
4.300562902	12.08409603	0.397407675
4.71016413	11.01830089	0.50992979
5.119765359	10.13604498	0.517259919
5.529366588	9.401071283	0.509326782
5.938967817	8.690588289	0.40805393
6.348569046	8.188228028	0.398160744
6.758170275	7.672872116	0.286039487
7.167771503	7.307739565	0.203231136
7.577372732	7.177716508	0.208639924
7.986973961	6.794797758	0.279369374
8.601375804	6.380772707	0.226681318
9.420578262	5.870793156	0.177469298
10.23978072	5.167435811	0.239367226
11.05898318	5.010949136	0.250427572
11.87818563	4.754566039	0.292728534
12.69738809	4.575718463	0.175134742
13.51659055	4.127047552	0.235542751
14.33579301	3.592461999	0.272498618
15.15499546	3.431000074	0.307815818
15.97419792	3.518474736	0.200691627
17.20300161	3.2472242	0.367804611
18.84140652	2.97745605	0.453406096
20.47981144	2.835831801	0.368821985
22.11821635	2.281519898	0.272865785
23.75662127	1.974066846	0.312594618
25.39502619	1.713550809	0.256920831
27.0334311	1.675477399	0.260291855
28.67183602	1.55146886	0.385695315
30.31024093	1.442241579	0.25363663
31.94864585	1.371465233	0.295040187
34.40625322	1.394126827	0.44698005
37.68306305	1.535017091	0.457869315
40.95987288	1.402238957	0.289919299
44.23668271	1.211679969	0.196921299
47.51349254	1.23205039	0.350120076
50.79030237	1.218573664	0.442011069
54.0671122	0.846662719	0.394052084
57.34392203	0.740098515	0.281433966
60.62073186	0.98677181	0.261788015
63.89754169	0.771462349	0.352586426
68.81275644	0.438357223	0.274503688
75.3663761	0.510911756	0.293883763
81.91999576	0.364726456	0.41573664
88.47361542	0.311647275	0.495020083
95.02723508	0.316882418	0.344200857
101.5808547	0.363467723	0.375558731
108.1344744	0.662770422	0.323662745
114.6880941	0.188929029	0.243421579
121.2417137	0.976695256	0.384919685
127.7953334	0.649130057	0.457147037
137.6257629	0.469490439	0.257775211
150.7330022	0.120281491	0.216914905
163.8402415	0.143465922	0.375806859
176.9474808	0.147153271	0.426754929
190.0547202	0.092849271	0.50367333
203.1619595	-0.332114132	0.538762504
216.2691988	-0.226724175	0.437641738
229.3764381	-0.387168832	0.362560436
242.4836775	-0.359738829	0.350278326
255.5909168	-0.507684111	0.32667715
275.2517758	-0.251714287	0.373161261
301.4662544	-0.306112533	0.465925933
327.680733	-0.39700443	0.408763875
353.8952117	-0.493979803	0.397807037
380.1096903	-0.607773687	0.387607915
406.324169	-0.696976316	0.309265662
432.5386476	-0.767628259	0.288715116
458.7531263	-0.760969535	0.329546452
484.9676049	-0.749829543	0.204668194
511.1820835	-0.420418747	0.223608387
550.5038015	-0.976897826	0.208783185
602.9327588	-0.926317135	0.294730992
655.3617161	-0.844136407	0.233436157
707.7906734	-1.249378185	0.229043746
760.2196307	-1.287098579	0.249056916
812.6485879	-1.709992942	0.313769969
865.0775452	-1.807709291	0.248285391
917.5065025	-1.598137547	0.338714163
969.9354598	-1.508106689	0.363545662
1022.364417	-1.343986665	0.34523355
